id,paragraph_1,kg_1,paragraph_2,kg_2
83,"coupling , an american version of a hit british comedy , will get the valuable thursday 9 : 30 p.m. time slot .","[[""Coupling"", ""is_version_of"", ""British_comedy""], [""Coupling"", ""has_time_slot"", ""Thursday_9_30_p.m.""], [""Coupling"", ""is_american_version"", ""British_comedy""], [""British_comedy"", ""has_american_version"", ""Coupling""]]","coupling , an american version of a hit british comedy , will couple with friends on thursdays .","[[""Coupling"", ""is_version_of"", ""British_comedy""], [""Coupling"", ""will_couple_with"", ""Friends""], [""Coupling"", ""airs_on"", ""Thursdays""], [""Coupling"", ""is_american_version"", ""British_comedy""], [""British_comedy"", ""has_american_version"", ""Coupling""], [""Friends"", ""airs_on"", ""Thursdays""]]"
84,"proving that the millville son 's sacrifice would not go unsung , mayor james quinn ordered all city flags flown at half-mast for the next 30 days .","[[""Millville"", ""has_mayor"", ""James_Quinn""], [""James_Quinn"", ""ordered"", ""city_flags_flown_at_half-mast""], [""city_flags_flown_at_half-mast"", ""duration"", ""30_days""], [""Millville"", ""has_city_flags"", ""city_flags""]]","in millville yesterday , mayor james quinn ordered all city flags flown at half-staff for the next 30 days .","[[""Millville"", ""has_mayor"", ""James_Quinn""], [""James_Quinn"", ""ordered"", ""city_flags_flown_at_half-staff""], [""city_flags_flown_at_half-staff"", ""duration"", ""30_days""], [""Millville"", ""has_city_flags"", ""city_flags""]]"
85,a boy is crawling into a dog house .,"[[""boy"", ""crawling_into"", ""dog_house""]]",a cat is playing on the floor .,"[[""cat"", ""playing_on"", ""floor""]]"
86,but she didn 't say whether she 'll certify the two-year $ 117.4 billion budget for 2004-05 .,"[[""she"", ""did_not_certify"", ""two-year_$117.4_billion_budget""], [""two-year_$117.4_billion_budget"", ""for"", ""2004-05""]]",she said she didn 't know yet whether she would certify the budget .,"[[""she"", ""did_not_know"", ""certification_of_budget""], [""she"", ""considering_certification_of"", ""budget""]]"
87,"the venture owns five oil refineries and more than 2,100 filling stations in russia and ukraine .","[[""venture"", ""owns"", ""oil_refineries""], [""venture"", ""number_of_oil_refineries"", ""5""], [""venture"", ""owns"", ""filling_stations""], [""venture"", ""number_of_filling_stations"", ""2100""], [""venture"", ""operates_in"", ""Russia""], [""venture"", ""operates_in"", ""Ukraine""]]","tnk-bp has six oil producing units , five refineries and 2,100 filling stations .","[[""TNK-BP"", ""has"", ""oil_producing_units""], [""TNK-BP"", ""number_of_oil_producing_units"", ""6""], [""TNK-BP"", ""has"", ""refineries""], [""TNK-BP"", ""number_of_refineries"", ""5""], [""TNK-BP"", ""has"", ""filling_stations""], [""TNK-BP"", ""number_of_filling_stations"", ""2100""]]"
88,"analysts ' consensus estimate from thomson first call was for a loss of $ 2.08 a share , excluding one-time items .","[[""analysts"", ""provided_consensus_estimate"", ""thomson_first_call""], [""thomson_first_call"", ""estimated_loss"", ""2.08_a_share""], [""2.08_a_share"", ""excludes"", ""one-time_items""]]",the estimate of analysts surveyed by thomson first call was for a loss of $ 2.75 a share .,"[[""analysts"", ""provided_estimate"", ""thomson_first_call""], [""thomson_first_call"", ""estimated_loss"", ""2.75_a_share""]]"
89,a man is playing guitar .,"[[""man"", ""playing"", ""guitar""]]",a man is draining pasta .,"[[""man"", ""draining"", ""pasta""]]"
90,funeral direction,[],the trade of a funeral director .,"[[""funeral_director"", ""occupation"", ""trade""]]"
91,a state of confinement in a small space,"[[""state"", ""characterized_by"", ""confinement""], [""confinement"", ""located_in"", ""small_space""]]",the act of forcing yourself ( or being forced ) into or through a restricted space .,"[[""act"", ""involves"", ""forcing""], [""forcing"", ""target"", ""yourself""], [""forcing"", ""alternative_target"", ""someone_else""], [""act"", ""involves"", ""movement""], [""movement"", ""through"", ""restricted_space""], [""act"", ""can_be"", ""self_forced""], [""act"", ""can_be"", ""externally_forced""]]"
92,"u.s. troops encountered no resistance during the five-hour sweep near tikrit , saddam hussein 's hometown and the center of a region of baath party supporters .","[[""U.S._troops"", ""encountered"", ""no_resistance""], [""U.S._troops"", ""conducted_sweep"", ""near_Tikrit""], [""Tikrit"", ""hometown_of"", ""Saddam_Hussein""], [""Tikrit"", ""located_in"", ""region_of_Baath_party_supporters""], [""Saddam_Hussein"", ""associated_with"", ""Baath_party""], [""U.S._troops"", ""operation_duration"", ""five-hour_sweep""], [""five-hour_sweep"", ""took_place"", ""near_Tikrit""]]",tikrit is saddam hussein 's hometown and the region around it is known as a hotbed of baath party supporters and former high-ranking iraqi military officials .,"[[""Tikrit"", ""hometown_of"", ""Saddam_Hussein""], [""Tikrit"", ""located_in"", ""region_of_Baath_party_supporters""], [""region_around_Tikrit"", ""known_as"", ""hotbed_of_Baath_party_supporters""], [""region_around_Tikrit"", ""known_for"", ""former_high-ranking_Iraqi_military_officials""], [""Saddam_Hussein"", ""associated_with"", ""Baath_party""], [""Baath_party"", ""has"", ""former_high-ranking_Iraqi_military_officials""]]"
93,"indeed , the french philosopher marcel gauchet entitled a recent book democracy against itself .","[[""Marcel_Gauchet"", ""entitled"", ""Democracy_Against_Itself""], [""Marcel_Gauchet"", ""nationality"", ""French""], [""Democracy_Against_Itself"", ""written_by"", ""Marcel_Gauchet""], [""Marcel_Gauchet"", ""occupation"", ""philosopher""]]",one can also note that the french philosopher marcel gauchet entitled one of these recent books the democracy against itself .,"[[""Marcel_Gauchet"", ""entitled"", ""Democracy_Against_Itself""], [""Marcel_Gauchet"", ""nationality"", ""French""], [""Democracy_Against_Itself"", ""written_by"", ""Marcel_Gauchet""], [""Marcel_Gauchet"", ""occupation"", ""philosopher""]]"
94,a cat is watching a tv .,"[[""cat"", ""watching"", ""tv""]]",a man is slicing a leave .,"[[""man"", ""slicing"", ""leave""]]"
95,intend something to move toward a certain goal,"[[""intend"", ""relation"", ""move_toward""], [""move_toward"", ""relation"", ""certain_goal""]]",intend ( something ) to move towards a certain goal .,"[[""intend"", ""relation"", ""move_towards""], [""move_towards"", ""relation"", ""certain_goal""]]"
96,then perhaps we could have avoided a catastrophe .,[],perhaps we should have been able to prevent a disaster .,[]
97,heatley was sixth in the league in goals last season with 41 and ninth in points with 89 .,"[[""heatley"", ""ranked"", ""sixth""], [""heatley"", ""league_position"", ""goals""], [""heatley"", ""scored"", ""41""], [""heatley"", ""ranked"", ""ninth""], [""heatley"", ""league_position"", ""points""], [""heatley"", ""scored"", ""89""]]",heatley led atlanta in scoring last season with a team-record 41 goals and 48 assists .,"[[""heatley"", ""led"", ""atlanta""], [""heatley"", ""scoring_record"", ""team_record""], [""heatley"", ""scored"", ""41""], [""heatley"", ""type_of_score"", ""goals""], [""heatley"", ""made"", ""48""], [""heatley"", ""type_of_score"", ""assists""]]"
98,paper is being cut with scissors .,"[[""paper"", ""being_cut_with"", ""scissors""]]",a piece of paper is being cut .,"[[""paper"", ""state"", ""being_cut""]]"
99,someone is slicing tortila 's .,"[[""someone"", ""slicing"", ""tortila""]]",someone is riding a horse .,"[[""someone"", ""riding"", ""horse""]]"
100,the u.s. conference board said its latest measure of business confidence hit 60 after falling to 53 in its first quarter survey .,"[[""U.S._Conference_Board"", ""said"", ""business_confidence_measure""], [""business_confidence_measure"", ""hit"", ""60""], [""business_confidence_measure"", ""fell_to"", ""53""], [""business_confidence_measure"", ""fell_in"", ""first_quarter_survey""]]","the conference board said its measure of business confidence , which had fallen to 53 in the first quarter of 2003 , improved to 60 in the most recent second quarter .","[[""Conference_Board"", ""said"", ""business_confidence_measure""], [""business_confidence_measure"", ""fell_to"", ""53""], [""business_confidence_measure"", ""fell_in"", ""first_quarter_of_2003""], [""business_confidence_measure"", ""improved_to"", ""60""], [""business_confidence_measure"", ""improved_in"", ""second_quarter""]]"
101,a man is rowing a boat .,"[[""man"", ""rowing"", ""boat""]]",a man is slicing a tomato .,"[[""man"", ""slicing"", ""tomato""]]"
102,a man is tying on a stenographers machine .,"[[""man"", ""using"", ""stenographers_machine""]]",the man used a stenograph .,"[[""man"", ""used"", ""stenograph""]]"
103,a man is putting garlic on some bread slices .,"[[""man"", ""putting"", ""garlic""], [""garlic"", ""on"", ""bread_slices""], [""man"", ""acting_on"", ""bread_slices""]]",a man is sprinkling seasoning on several split and buttered loaves of bread .,"[[""man"", ""sprinkling"", ""seasoning""], [""seasoning"", ""on"", ""loaves_of_bread""], [""loaves_of_bread"", ""split"", ""True""], [""loaves_of_bread"", ""buttered"", ""True""], [""man"", ""acting_on"", ""loaves_of_bread""]]"
104,advancing issues outnumbered decliners about 8 to 5 on the new york stock exchange .,"[[""advancing_issues"", ""outnumbered"", ""decliners""], [""advancing_issues"", ""ratio"", ""8_to_5""], [""decliners"", ""ratio"", ""5""], [""New_York_Stock_Exchange"", ""location_of"", ""advancing_issues""], [""New_York_Stock_Exchange"", ""location_of"", ""decliners""]]",declining issues outnumbered advancers slightly more than 3 to 1 on the new york stock exchange .,"[[""declining_issues"", ""outnumbered"", ""advancers""], [""declining_issues"", ""ratio"", ""3_to_1""], [""advancers"", ""ratio"", ""1""], [""New_York_Stock_Exchange"", ""location_of"", ""declining_issues""], [""New_York_Stock_Exchange"", ""location_of"", ""advancers""]]"
105,a cat is playing on the floor .,"[[""cat"", ""playing_on"", ""floor""]]",a man is slicing garlic .,"[[""man"", ""slicing"", ""garlic""]]"
106,"and , perhaps most importantly , ahmadinejad is a destabilizing influence ; bernanke is not .","[[""Ahmadinejad"", ""is"", ""destabilizing_influence""], [""Bernanke"", ""is_not"", ""destabilizing_influence""]]","and , perhaps the most important , the destabilising influence , not then .",[]
107,effectively wield or manipulate a concrete entity,"[[""concrete_entity"", ""can_be_wielded"", ""effectively""], [""concrete_entity"", ""can_be_manipulated"", ""effectively""]]",handle effectively .,[]
108,"prior to joining kodak , palumbo worked for procter & gamble corp. , where he managed products such as folgers and pantene shampoo .","[[""Palumbo"", ""worked_for"", ""Procter_&_Gamble_Corp""], [""Palumbo"", ""managed"", ""Folgers""], [""Palumbo"", ""managed"", ""Pantene_Shampoo""], [""Palumbo"", ""joined"", ""Kodak""]]","prior to joining eastman kodak , mr. palumbo held senior marketing positions for procter & gamble .","[[""Mr._Palumbo"", ""held_position"", ""senior_marketing_positions""], [""Mr._Palumbo"", ""worked_for"", ""Procter_&_Gamble""], [""Mr._Palumbo"", ""joined"", ""Eastman_Kodak""]]"
109,dotson was arrested monday in his native maryland and charged with murder .,"[[""dotson"", ""arrested_in"", ""Maryland""], [""dotson"", ""charged_with"", ""murder""], [""dotson"", ""native_of"", ""Maryland""]]","dotson , 21 , was subsequently charged with dennehy 's murder .","[[""dotson"", ""age"", ""21""], [""dotson"", ""charged_with"", ""Dennehy_murder""]]"
110,the man is slicing a fish open .,"[[""man"", ""is_slicing"", ""fish""]]",a man is slicing a potato .,"[[""man"", ""is_slicing"", ""potato""]]"
111,the ministry of defence is facing a 20m compensation claim from hundreds of kenyan women who claim they were raped by british soldiers .,"[[""Ministry_of_Defence"", ""facing_compensation_claim_from"", ""Kenyan_Women""], [""Kenyan_Women"", ""number"", ""hundreds""], [""Kenyan_Women"", ""claim"", ""rape_by_British_Soldiers""], [""British_Soldiers"", ""alleged_to_have_raped"", ""Kenyan_Women""], [""Ministry_of_Defence"", ""compensation_claim_amount"", ""20m""]]",hundreds of kenyan women claiming they were attacked and raped by british soldiers were granted government legal aid wednesday to pursue their case against the ministry of defense .,"[[""Kenyan_Women"", ""number"", ""hundreds""], [""Kenyan_Women"", ""claim"", ""attack_and_rape_by_British_Soldiers""], [""British_Soldiers"", ""alleged_to_have_attacked_and_raped"", ""Kenyan_Women""], [""Kenyan_Women"", ""granted"", ""Government_Legal_Aid""], [""Government_Legal_Aid"", ""purpose"", ""pursue_case_against_Ministry_of_Defense""], [""Ministry_of_Defense"", ""defendant_in"", ""case_brought_by_Kenyan_Women""], [""Kenyan_Women"", ""received_Government_Legal_Aid_on"", ""Wednesday""]]"
112,there must be a balance as a whole .,[],the whole must be in balance .,[]
113,"thank you , commissioner .",[],"thank you , commissioner .",[]
114,""" we have found the smoking gun , "" investigating board member scott hubbard said .","[[""investigating_board"", ""member"", ""Scott_Hubbard""], [""Scott_Hubbard"", ""said"", ""smoking_gun""]]",""" we have found the smoking gun , "" said hubbard , director of nasa 's ames research center in california .","[[""Hubbard"", ""director_of"", ""NASA_Ames_Research_Center""], [""NASA_Ames_Research_Center"", ""located_in"", ""California""], [""Hubbard"", ""said"", ""smoking_gun""]]"
115,a cat is jumping into a box .,"[[""cat"", ""jumping_into"", ""box""]]",a young man is talking to a leaf .,"[[""young_man"", ""talking_to"", ""leaf""]]"
116,two foxes are eating from a plate on a brick patio .,"[[""two_foxes"", ""eating_from"", ""plate""], [""plate"", ""located_on"", ""brick_patio""], [""brick_patio"", ""has"", ""two_foxes""]]",foxes are eating from a plate .,"[[""foxes"", ""eating_from"", ""plate""]]"
117,make out of components ( in an improvising manner ),"[[""components"", ""used_to_make"", ""something""], [""something"", ""made_in"", ""improvising_manner""]]",make out of components ( often in an improvising manner ) .,"[[""components"", ""used_to_make"", ""something""], [""something"", ""made_in"", ""improvising_manner""], [""something"", ""made_frequently_in"", ""improvising_manner""]]"
118,""" frank quattrone is innocent , "" keker said in a statement .","[[""Frank_Quattrone"", ""status"", ""innocent""], [""Keker"", ""made_statement_about"", ""Frank_Quattrone""]]",quattrone lawyer john w. keker said his client is innocent .,"[[""Quattrone"", ""represented_by"", ""John_W._Keker""], [""John_W._Keker"", ""said_about_client"", ""innocent""], [""Quattrone"", ""status"", ""innocent""]]"
119,forcefully request,[],request urgently and forcefully .,[]
120,a woman is deboning a fish .,"[[""woman"", ""deboning"", ""fish""]]",a man catches a fish .,"[[""man"", ""catches"", ""fish""]]"
121,the little boy is singing and playing the guitar .,"[[""little_boy"", ""is_singing"", ""song""], [""little_boy"", ""playing"", ""guitar""]]",a baby is playing a guitar .,"[[""baby"", ""playing"", ""guitar""]]"
122,"a process of development , increase or advancement","[[""process"", ""of"", ""development""], [""process"", ""of"", ""increase""], [""process"", ""of"", ""advancement""]]",a process of becoming larger or longer or more numerous or more important .,"[[""process"", ""of"", ""becoming_larger""], [""process"", ""of"", ""becoming_longer""], [""process"", ""of"", ""becoming_more_numerous""], [""process"", ""of"", ""becoming_more_important""]]"
123,"decree , issue an order","[[""decree"", ""means"", ""issue_an_order""]]",issue an order .,"[[""issue"", ""means"", ""an_order""]]"
124,"also missing is al larsen , 31 , of fort worth , texas , who was in another vehicle swept off the turnpike .","[[""Al_Larsen"", ""age"", ""31""], [""Al_Larsen"", ""from"", ""Fort_Worth""], [""Al_Larsen"", ""from"", ""Texas""], [""Al_Larsen"", ""involved_in"", ""vehicle_accident""], [""vehicle_accident"", ""occurred_on"", ""turnpike""]]","the other victim recovered tuesday morning was al larsen , 31 , of fort worth , texas .","[[""Al_Larsen"", ""age"", ""31""], [""Al_Larsen"", ""from"", ""Fort_Worth""], [""Al_Larsen"", ""from"", ""Texas""], [""Al_Larsen"", ""recovered_on"", ""Tuesday""], [""Al_Larsen"", ""status"", ""victim""]]"
125,a woman is carrying a boy .,"[[""woman"", ""carrying"", ""boy""]]",a woman is carrying her baby .,"[[""woman"", ""carrying"", ""baby""], [""baby"", ""belongs_to"", ""woman""]]"
126,"us special forces troops are training colombian soldiers at military bases in the region to protect the pipeline , which transports crude from colombia 's second-biggest oil field .","[[""US_Special_Forces"", ""training"", ""Colombian_Soldiers""], [""US_Special_Forces"", ""located_at"", ""Military_Bases""], [""Military_Bases"", ""located_in"", ""The_Region""], [""Colombian_Soldiers"", ""trained_by"", ""US_Special_Forces""], [""Pipeline"", ""transports"", ""Crude""], [""Crude"", ""from"", ""Colombia_Second_Biggest_Oil_Field""], [""Pipeline"", ""protected_by"", ""US_Special_Forces""], [""Colombia_Second_Biggest_Oil_Field"", ""located_in"", ""Colombia""]]",u.s. special forces troops are training colombian soldiers at military bases in the region to protect the pipeline .,"[[""US_Special_Forces"", ""training"", ""Colombian_Soldiers""], [""US_Special_Forces"", ""located_at"", ""Military_Bases""], [""Military_Bases"", ""located_in"", ""The_Region""], [""Colombian_Soldiers"", ""trained_by"", ""US_Special_Forces""], [""Pipeline"", ""protected_by"", ""US_Special_Forces""]]"
127,"( cause to ) move through a space , circuit or system , usu. returning to the starting point","[[""space"", ""part_of"", ""system""], [""circuit"", ""part_of"", ""system""], [""system"", ""has_starting_point"", ""starting_point""]]",move in circles .,"[[""circles"", ""shape_of_motion"", ""move""]]"
128,supply or furnish with something needed or wanted,"[[""something"", ""needed_or_wanted_by"", ""something""], [""something"", ""supplied_with"", ""something_needed_or_wanted""]]",give something useful or necessary to .,"[[""something"", ""given_to"", ""something""], [""something"", ""useful_or_necessary_for"", ""something""]]"
129,the act of coming to rest after a voyage .,"[[""act"", ""comes_after"", ""voyage""], [""act"", ""results_in"", ""rest""]]",the act of coming to land after a voyage .,"[[""act"", ""comes_after"", ""voyage""], [""act"", ""results_in"", ""land""]]"
130,the man played his guitar .,"[[""man"", ""played"", ""guitar""]]",a man is playing a guitar .,"[[""man"", ""playing"", ""guitar""]]"
131,the man talked to a girl over the internet camera .,"[[""man"", ""talks_to"", ""girl""], [""man"", ""uses"", ""internet_camera""]]",a teenager talks to a girl over a webcam .,"[[""teenager"", ""talks_to"", ""girl""], [""teenager"", ""uses"", ""webcam""]]"
132,render one language in another language,"[[""language"", ""rendered_in"", ""another_language""]]",restate ( words ) from one language into another language .,"[[""words"", ""restated_from"", ""one_language""], [""words"", ""restated_in"", ""another_language""], [""one_language"", ""translated_to"", ""another_language""]]"
133,a man is playing an electronic keyboard .,"[[""man"", ""playing"", ""electronic_keyboard""]]",a man is playing a flute .,"[[""man"", ""playing"", ""flute""]]"
134,this tendency extends deeper than headscarves .,"[[""tendency"", ""extends_deeper_than"", ""headscarves""]]",this tendency goes well beyond simple .,"[[""tendency"", ""goes_beyond"", ""simple""]]"
135,a man is playing a guitar .,"[[""man"", ""playing"", ""guitar""]]",someone is handling a bun .,"[[""someone"", ""handling"", ""bun""]]"
136,( medicine ) the capacity of an organism to defend against disease .,"[[""organism"", ""has_capacity"", ""defend_against_disease""], [""organism"", ""defend_against"", ""disease""]]",( medicine ) the condition in which an organism can resist disease .,"[[""organism"", ""has_condition"", ""resist_disease""], [""organism"", ""resist"", ""disease""]]"
137,putin 's russia has already lost 12 leading journalists to murder in the past six years .,"[[""Putin"", ""leader_of"", ""Russia""], [""Russia"", ""lost"", ""12_leading_journalists""], [""12_leading_journalists"", ""died_by"", ""murder""], [""12_leading_journalists"", ""died_in"", ""past_six_years""]]","putin 's russia has already lost 12 prominent journalists , murdered in the last six years .","[[""Putin"", ""leader_of"", ""Russia""], [""Russia"", ""lost"", ""12_prominent_journalists""], [""12_prominent_journalists"", ""died_by"", ""murder""], [""12_prominent_journalists"", ""died_in"", ""last_six_years""]]"
138,a small dog is chasing a yoga ball .,"[[""small_dog"", ""chasing"", ""yoga_ball""]]",a dog is chasing a ball .,"[[""dog"", ""chasing"", ""ball""]]"
139,van orden report ( a5-0241 / 2000 ),"[[""van_orden_report"", ""identified_by"", ""a5-0241_2000""]]",report van orden ( a5-0241 / 2000 ),"[[""report_van_orden"", ""identified_by"", ""a5-0241_2000""]]"
140,a girl is dancing in a cage .,"[[""girl"", ""dancing_in"", ""cage""]]",a onion is being chopped .,[]
141,a man is paddling a canoe .,"[[""man"", ""paddling"", ""canoe""]]",a man is playing a harp .,"[[""man"", ""playing"", ""harp""]]"
142,"the standards are scarcely comparable , let alone transferable .","[[""standards"", ""comparable"", ""false""], [""standards"", ""transferable"", ""false""]]",the norms are scarcely comparable and again less transférables .,"[[""norms"", ""comparable"", ""false""], [""norms"", ""transférables"", ""false""]]"
143,a man is cutting paper with a sword .,"[[""man"", ""cutting"", ""paper""], [""man"", ""using"", ""sword""], [""sword"", ""used_for"", ""cutting_paper""]]",a woman is cutting a tomato .,[]
144,"the s & p / tsx composite rose 87.74 points on the week , while the tsx venture exchange composite gained 44.49 points .","[[""S_&_P_/TSX_Composite"", ""rose"", ""87.74_points""], [""TSX_Venture_Exchange_Composite"", ""gained"", ""44.49_points""]]","on the week , the dow jones industrial average rose 11.56 points , while the nasdaq stock market gained 39.42 points .","[[""Dow_Jones_Industrial_Average"", ""rose"", ""11.56_points""], [""Nasdaq_Stock_Market"", ""gained"", ""39.42_points""]]"
145,amendment no 7 proposes certain changes in the references to paragraphs .,"[[""amendment_no_7"", ""proposes"", ""changes""], [""changes"", ""in"", ""references""], [""references"", ""to"", ""paragraphs""]]",amendment 7 proposes certain modifications in the references to paragraphs .,"[[""amendment_7"", ""proposes"", ""modifications""], [""modifications"", ""in"", ""references""], [""references"", ""to"", ""paragraphs""]]"
146,two men are talking .,"[[""two_men"", ""are_talking"", ""each_other""]]",two men are playing guitar .,"[[""two_men"", ""are_playing"", ""guitar""]]"
147,change one for another,[],"give to , and receive from , one another .",[]
148,( cause to ) survive,[],cause to move by pulling .,[]
149,then perhaps we could have avoided a catastrophe .,[],we would perhaps have been able to then avoid a disaster .,[]
150,the woman is seasoning the oil .,"[[""woman"", ""is_seasoning"", ""oil""]]",a woman is pouring ingredients in a bowl .,"[[""woman"", ""is_pouring"", ""ingredients""], [""ingredients"", ""being_poured_in"", ""bowl""], [""woman"", ""pouring_in"", ""bowl""]]"
151,"mr president , i rise in defence of the workers in the industry .","[[""mr_president"", ""spoken_to"", ""speaker""], [""speaker"", ""rises_in_defence_of"", ""workers""], [""workers"", ""employed_in"", ""industry""]]","mr president , i would like to take the defence of workers in this sector .","[[""mr_president"", ""spoken_to"", ""speaker""], [""speaker"", ""takes_defence_of"", ""workers""], [""workers"", ""employed_in"", ""sector""]]"
152,but the returns that make us stock markets so attractive reflect a delicate political balance .,"[[""stock_markets"", ""reflect"", ""delicate_political_balance""], [""stock_markets"", ""attractive_due_to"", ""returns""]]",but the returns which return the us markets of the transferable securities if attracting reflect a fragile political balance .,"[[""us_markets"", ""reflect"", ""fragile_political_balance""], [""us_markets"", ""attractive_due_to"", ""returns""], [""transferable_securities"", ""part_of"", ""us_markets""], [""returns"", ""from"", ""transferable_securities""]]"
153,a woman opens a window .,"[[""woman"", ""opens"", ""window""]]",a man is crawling .,"[[""man"", ""is_crawling"", ""null""]]"
154,a woman is doing weight exercises .,"[[""woman"", ""doing"", ""weight_exercises""]]",a woman is doing her hair .,"[[""woman"", ""doing"", ""her_hair""]]"
155,someone is greasing a pan .,"[[""someone"", ""greasing"", ""pan""]]",smeone is laying down .,"[[""someone"", ""laying_down"", ""ground""]]"
156,the man used a chopper to chop the onion .,"[[""man"", ""used"", ""chopper""], [""chopper"", ""used_for"", ""chopping_onion""], [""man"", ""chopped"", ""onion""]]",the man used a machine to chop up a potatoe .,"[[""man"", ""used"", ""machine""], [""machine"", ""used_for"", ""chopping_potatoe""], [""man"", ""chopped"", ""potatoe""]]"
157,"the technology-laced nasdaq composite index dipped 0.08 of a point to 1,646 .","[[""Nasdaq_Composite_Index"", ""dipped"", ""0.08_of_a_point""], [""Nasdaq_Composite_Index"", ""value"", ""1,646""]]","the technology-laced nasdaq composite index < .ixic > added 1.92 points , or 0.12 percent , at 1,647.94 .","[[""Nasdaq_Composite_Index"", ""added"", ""1.92_points""], [""Nasdaq_Composite_Index"", ""percentage_change"", ""0.12_percent""], [""Nasdaq_Composite_Index"", ""value"", ""1,647.94""]]"
158,"consumers will lose out , employees will lose out , europe will lose competitive strength and growth .","[[""consumers"", ""will_lose"", ""something""], [""employees"", ""will_lose"", ""something""], [""Europe"", ""will_lose"", ""competitive_strength""], [""Europe"", ""will_lose"", ""growth""]]","the consumers are the losers , with the employees , and the competitiveness and the growth european régresseront .","[[""consumers"", ""are"", ""losers""], [""employees"", ""are"", ""losers""], [""competitiveness"", ""belongs_to"", ""Europe""], [""growth"", ""belongs_to"", ""Europe""]]"
159,[ provide with a new or different resting place,[],provide with a new seat .,[]
160,"one question was whether france , which infuriated washington by leading the charge against u.n. authorization for the war , would vote "" yes "" or abstain .","[[""France"", ""infuriated"", ""Washington""], [""France"", ""led_charge_against"", ""U.N._authorization_for_the_war""], [""U.N._authorization_for_the_war"", ""related_to"", ""war""], [""France"", ""considered_voting"", ""yes""], [""France"", ""considered_voting"", ""abstain""]]","france , which infuriated washington by leading the charge against u.n. approval for the war , also sought changes .","[[""France"", ""infuriated"", ""Washington""], [""France"", ""led_charge_against"", ""U.N._approval_for_the_war""], [""U.N._approval_for_the_war"", ""related_to"", ""war""], [""France"", ""sought"", ""changes""]]"
161,"the standards are scarcely comparable , let alone transferable .","[[""standards"", ""comparable"", ""False""], [""standards"", ""transferable"", ""False""]]",the standards are hardly comparable and even less transferable .,"[[""standards"", ""comparable"", ""False""], [""standards"", ""transferable"", ""False""]]"
162,a woman puts flour on a piece of meat .,"[[""woman"", ""puts"", ""flour""], [""flour"", ""on"", ""piece_of_meat""], [""piece_of_meat"", ""receives"", ""flour""], [""woman"", ""interacts_with"", ""piece_of_meat""]]",a woman is putting flour onto some meat .,"[[""woman"", ""puts"", ""flour""], [""flour"", ""onto"", ""meat""], [""woman"", ""interacts_with"", ""meat""], [""meat"", ""receives"", ""flour""]]"
163,a woman is slicing up some meat .,"[[""woman"", ""slicing"", ""meat""]]",a woman is breading some meat .,"[[""woman"", ""breading"", ""meat""]]"
164,this has left the conservative opposition without an effective response .,"[[""conservative_opposition"", ""without"", ""effective_response""]]",that leaves the conservative opposition without any effective answer .,"[[""conservative_opposition"", ""without"", ""effective_answer""]]"
165,five men jump into a swimming pool .,"[[""five_men"", ""jump_into"", ""swimming_pool""]]",a group of swimmers fall into a pool .,"[[""group_of_swimmers"", ""fall_into"", ""pool""]]"
166,"give a thrashing to , beat","[[""give_a_thrashing_to"", ""synonym_of"", ""beat""]]",give a thrashing to ; beat hard .,"[[""give_a_thrashing_to"", ""synonym_of"", ""beat_hard""]]"
167,the woman is dicing onions .,"[[""woman"", ""is_dicing"", ""onions""]]",a woman is dancing in railway station .,"[[""woman"", ""is_dancing_in"", ""railway_station""]]"
168,a woman is putting her baby in a waste bin .,"[[""woman"", ""putting"", ""baby""], [""baby"", ""put_in"", ""waste_bin""], [""woman"", ""put_in"", ""waste_bin""]]",the woman is poking holes in the potato .,"[[""woman"", ""poking"", ""potato""], [""woman"", ""creating"", ""holes""], [""holes"", ""in"", ""potato""]]"
169,"an intense surprise , often unpleasant","[[""surprise"", ""can_be"", ""unpleasant""], [""surprise"", ""can_be"", ""intense""]]",an unpleasant or disappointing surprise .,"[[""surprise"", ""can_be"", ""unpleasant""], [""surprise"", ""can_be"", ""disappointing""]]"
170,two men are fighting .,"[[""Man1"", ""fighting_with"", ""Man2""]]",two men are fighting using a form of martial arts .,"[[""Man1"", ""fighting_with"", ""Man2""], [""Man1"", ""using"", ""martial_arts""], [""Man2"", ""using"", ""martial_arts""]]"
171,make an abstract thing tight or more restrictive,"[[""abstract_thing"", ""made_tight"", ""tighter""], [""abstract_thing"", ""made"", ""more_restrictive""]]",make tight or tighter .,"[[""thing"", ""made_tight"", ""tight""], [""thing"", ""made"", ""tighter""]]"
172,a man is riding a bike .,"[[""man"", ""riding"", ""bike""]]",a panda bear is eating .,"[[""panda_bear"", ""eating"", ""nothing""]]"
173,connect with ; reach a target or goal,"[[""connect"", ""relation"", ""target_or_goal""], [""connect"", ""relation"", ""reach""], [""target_or_goal"", ""related_to"", ""connect""], [""reach"", ""related_to"", ""target_or_goal""], [""connect"", ""meaning"", ""reach_a_target_or_goal""]]","perceive with the senses quickly , suddenly , or momentarily .","[[""perceive"", ""relation"", ""senses""], [""perceive"", ""manner"", ""quickly""], [""perceive"", ""manner"", ""suddenly""], [""perceive"", ""manner"", ""momentarily""], [""senses"", ""used_for"", ""perceive""]]"
