id,paragraph_1,kg_1,paragraph_2,kg_2,paragraph_3,kg_3
198,It is unclear whether traveling long distances to high-volume centers would compensate for travel burden among patients undergoing rectal cancer resection.,"[[""patients"", ""undergoing"", ""rectal_cancer_resection""], [""patients"", ""traveling"", ""long_distances""], [""long_distances"", ""to"", ""high-volume_centers""], [""travel_burden"", ""among"", ""patients""]]","Our results indicate that when controlled for patient, tumor, and hospital factors, patients who traveled a long distance to a high-volume center had improved lymph node yield, neoadjuvant chemoradiation receipt, and 30- and 90-day mortality compared with those who traveled a short distance to a low-volume center. They also had improved 5-year survival. See Video Abstract at http://links.lww.com/DCR/A446.","[[""patients"", ""traveled"", ""long_distance""], [""long_distance"", ""to"", ""high-volume_center""], [""patients"", ""had"", ""improved_lymph_node_yield""], [""patients"", ""had"", ""neoadjuvant_chemoradiation_receipt""], [""patients"", ""had"", ""improved_30-_and_90-day_mortality""], [""patients"", ""had"", ""improved_5-year_survival""], [""high-volume_center"", ""compared_to"", ""low-volume_center""], [""patients"", ""traveled"", ""short_distance""], [""short_distance"", ""to"", ""low-volume_center""]]","Our results indicate that when controlled for patient, tumor, and hospital factors, patients who traveled a long distance to a high-volume center had improved lymph node yield, neoadjuvant chemoradiation receipt, and 30- and 90-day mortality compared with those who traveled a short distance to a low-volume center. 5-year survival also had improved They. See Video Abstract at http://links.lww.com/DCR/A446.","[[""patients"", ""traveled"", ""long_distance""], [""long_distance"", ""to"", ""high-volume_center""], [""patients"", ""had"", ""improved_lymph_node_yield""], [""patients"", ""had"", ""neoadjuvant_chemoradiation_receipt""], [""patients"", ""had"", ""improved_30-_and_90-day_mortality""], [""patients"", ""had"", ""improved_5-year_survival""], [""high-volume_center"", ""compared_to"", ""low-volume_center""], [""patients"", ""traveled"", ""short_distance""], [""short_distance"", ""to"", ""low-volume_center""]]"
199,It is unclear whether traveling long distances to high-volume centers would compensate for travel burden among patients undergoing rectal cancer resection.,"[[""patients"", ""undergoing"", ""rectal_cancer_resection""], [""patients"", ""traveling"", ""long_distances""], [""long_distances"", ""to"", ""high-volume_centers""], [""high-volume_centers"", ""compensate_for"", ""travel_burden""], [""travel_burden"", ""among"", ""patients""]]","Our results indicate that when controlled for patient, tumor, and hospital factors, patients who traveled a long distance to a high-volume center had improved lymph node yield, neoadjuvant chemoradiation receipt, and 30- and 90-day mortality compared with those who traveled a short distance to a low-volume center. They also had improved 5-year survival. See Video Abstract at http://links.lww.com/DCR/A446.","[[""patients"", ""traveled"", ""long_distance""], [""long_distance"", ""to"", ""high-volume_center""], [""high-volume_center"", ""compared_to"", ""low-volume_center""], [""patients"", ""had"", ""improved_lymph_node_yield""], [""patients"", ""had"", ""neoadjuvant_chemoradiation_receipt""], [""patients"", ""had"", ""improved_30-and_90-day_mortality""], [""patients"", ""had"", ""improved_5-year_survival""], [""high-volume_center"", ""controlled_for"", ""patient_factors""], [""high-volume_center"", ""controlled_for"", ""tumor_factors""], [""high-volume_center"", ""controlled_for"", ""hospital_factors""], [""low-volume_center"", ""controlled_for"", ""patient_factors""], [""low-volume_center"", ""controlled_for"", ""tumor_factors""], [""low-volume_center"", ""controlled_for"", ""hospital_factors""]]","Aplastic anemia is associated with a variety of autoimmune syndromes. The sequence of events in our patient suggests that the hepatic failure, AFOP, and the VSAA may all have been part of an autoimmune syndrome. AFOP could be the result of immune dysregulation in this pediatric case with favorable outcome after immunosuppressive therapy and hematopoietic stem cell transplantation.","[[""Aplastic_anemia"", ""associated_with"", ""autoimmune_syndromes""], [""hepatic_failure"", ""part_of"", ""autoimmune_syndrome""], [""AFOP"", ""part_of"", ""autoimmune_syndrome""], [""VSAA"", ""part_of"", ""autoimmune_syndrome""], [""AFOP"", ""result_of"", ""immune_dysregulation""], [""patient"", ""had"", ""favorable_outcome""], [""patient"", ""received"", ""immunosuppressive_therapy""], [""patient"", ""received"", ""hematopoietic_stem_cell_transplantation""]]"
200,To investigate the importance of loss of consciousness (LOC) in predicting neuropsychological test performance in a large sample of patients with head injury.,"[[""investigation"", ""focus_on"", ""importance_of_loss_of_consciousness""], [""importance_of_loss_of_consciousness"", ""related_to"", ""neuropsychological_test_performance""], [""neuropsychological_test_performance"", ""measured_in"", ""patients_with_head_injury""]]",The results of this study cast doubt on the importance of LOC as a predictor of neuropsychological test performance during the acute phase of recovery from mild traumatic brain injury. Neuropsychological testing procedures have been shown to be sensitive in measuring cognitive sequelae of mild traumatic brain injury (concussion) in athletes. The failure of this study to find any relationship between LOC and neuropsychological functioning in a large sample of patients with mild head trauma calls into question the assignment of primary importance to LOC in grading severity of concussion. This study also does not provide support for the use of guidelines that rely heavily on LOC in making return-to-play decisions. Continued research is necessary to determine the relative importance of markers of concussion in athletes.,"[[""study"", ""casts_doubt_on"", ""importance_of_LOC""], [""importance_of_LOC"", ""as_predictor_of"", ""neuropsychological_test_performance""], [""neuropsychological_test_performance"", ""measured_during"", ""acute_phase_of_recovery""], [""acute_phase_of_recovery"", ""part_of"", ""recovery_from_mild_traumatic_brain_injury""], [""neuropsychological_testing_procedures"", ""sensitive_in_measuring"", ""cognitive_sequelae""], [""cognitive_sequelae"", ""of"", ""mild_traumatic_brain_injury""], [""mild_traumatic_brain_injury"", ""also_known_as"", ""concussion""], [""concussion"", ""occurs_in"", ""athletes""], [""study"", ""finds_no_relationship_between"", ""LOC_and_neuropsychological_functioning""], [""LOC_and_neuropsychological_functioning"", ""measured_in"", ""patients_with_mild_head_trauma""], [""study"", ""calls_into_question"", ""assignment_of_primary_importance_to_LOC""], [""assignment_of_primary_importance_to_LOC"", ""in"", ""grading_severity_of_concussion""], [""study"", ""does_not_support"", ""use_of_guidelines""], [""use_of_guidelines"", ""that_rely_heavily_on"", ""LOC""], [""LOC"", ""used_in"", ""making_return-to-play_decisions""], [""study"", ""emphasizes_need_for"", ""continued_research""], [""continued_research"", ""necessary_to_determine"", ""relative_importance_of_markers""], [""relative_importance_of_markers"", ""of"", ""concussion""], [""relative_importance_of_markers"", ""in"", ""athletes""]]",doubt was casted by The findings of this investigation. Neuropsychological testing procedures have been shown to be sensitive in measuring cognitive sequelae of mild traumatic brain injury (concussion) in athletes. The failure of this study to observe any relationship between LOC and neuropsychological functioning in a large sample of individuals with mild head trauma calls into question the assignment of primary importance to LOC in grading severity of concussion. This study also does not provide support for the use of guidelines that rely heavily on LOC in making return-to-play decisions. Continued research is necessary to determine the relative importance of markers of concussion in athletes.,"[[""investigation"", ""findings"", ""cast_doubt""], [""doubt"", ""on_importance_of"", ""LOC""], [""LOC"", ""related_to"", ""neuropsychological_functioning""], [""neuropsychological_functioning"", ""measured_in"", ""individuals_with_mild_head_trauma""], [""study"", ""finds_no_relationship_between"", ""LOC_and_neuropsychological_functioning""], [""LOC_and_neuropsychological_functioning"", ""measured_in"", ""large_sample""], [""study"", ""calls_into_question"", ""assignment_of_primary_importance_to_LOC""], [""assignment_of_primary_importance_to_LOC"", ""in"", ""grading_severity_of_concussion""], [""study"", ""does_not_support"", ""use_of_guidelines""], [""use_of_guidelines"", ""that_rely_heavily_on"", ""LOC""], [""LOC"", ""used_in"", ""making_return-to-play_decisions""], [""study"", ""emphasizes_need_for"", ""continued_research""], [""continued_research"", ""necessary_to_determine"", ""relative_importance_of_markers""], [""relative_importance_of_markers"", ""of"", ""concussion""], [""relative_importance_of_markers"", ""in"", ""athletes""], [""neuropsychological_testing_procedures"", ""sensitive_in_measuring"", ""cognitive_sequelae""], [""cognitive_sequelae"", ""of"", ""mild_traumatic_brain_injury""], [""mild_traumatic_brain_injury"", ""also_known_as"", ""concussion""], [""concussion"", ""occurs_in"", ""athletes""]]"
201,To investigate the importance of loss of consciousness (LOC) in predicting neuropsychological test performance in a large sample of patients with head injury.,"[[""importance_of_loc"", ""investigated_in"", ""patients_with_head_injury""], [""patients_with_head_injury"", ""undergo"", ""neuropsychological_test""], [""neuropsychological_test"", ""performance"", ""predicted_by_loc""]]",The results of this study cast doubt on the importance of LOC as a predictor of neuropsychological test performance during the acute phase of recovery from mild traumatic brain injury. Neuropsychological testing procedures have been shown to be sensitive in measuring cognitive sequelae of mild traumatic brain injury (concussion) in athletes. The failure of this study to find any relationship between LOC and neuropsychological functioning in a large sample of patients with mild head trauma calls into question the assignment of primary importance to LOC in grading severity of concussion. This study also does not provide support for the use of guidelines that rely heavily on LOC in making return-to-play decisions. Continued research is necessary to determine the relative importance of markers of concussion in athletes.,"[[""results_of_study"", ""cast_doubt_on"", ""importance_of_loc""], [""importance_of_loc"", ""as_predictor_of"", ""neuropsychological_test_performance""], [""neuropsychological_test_performance"", ""measured_during"", ""acute_phase_of_recovery""], [""acute_phase_of_recovery"", ""from"", ""mild_traumatic_brain_injury""], [""neuropsychological_testing_procedures"", ""sensitive_in_measuring"", ""cognitive_sequelae""], [""cognitive_sequelae"", ""of"", ""mild_traumatic_brain_injury""], [""mild_traumatic_brain_injury"", ""also_known_as"", ""concussion""], [""concussion"", ""in"", ""athletes""], [""study"", ""failed_to_find_relationship"", ""between_loc_and_neuropsychological_functioning""], [""loc"", ""relationship_with"", ""neuropsychological_functioning""], [""study"", ""calls_into_question"", ""assignment_of_primary_importance_to_loc""], [""assignment_of_primary_importance_to_loc"", ""in"", ""grading_severity_of_concussion""], [""study"", ""does_not_support"", ""use_of_guidelines""], [""use_of_guidelines"", ""that_rely_heavily_on"", ""loc""], [""loc"", ""used_in"", ""making_return-to-play_decisions""], [""research"", ""necessary_to_determine"", ""relative_importance_of_markers""], [""markers"", ""of"", ""concussion""], [""markers"", ""in"", ""athletes""]]",The results of this study cast doubt on the importance of Systemic Inflammatory Response Syndrome as a predictor of neuropsychological test performance during the acute phase of recovery from mild traumatic brain injury. Neuropsychological testing procedures have been shown to be sensitive in measuring cognitive sequelae of mild traumatic brain injury (concussion) in athletes. The failure of this study to find any relationship between LOC and neuropsychological functioning in a large sample of patients with mild head trauma calls into question the assignment of primary importance to LOC in grading severity of concussion. This study also does not provide support for the use of guidelines that rely heavily on LOC in making return-to-play decisions. Continued research is necessary to determine the relative importance of markers of concussion in athletes.,"[[""results_of_study"", ""cast_doubt_on"", ""importance_of_systemic_inflammatory_response_syndrome""], [""importance_of_systemic_inflammatory_response_syndrome"", ""as_predictor_of"", ""neuropsychological_test_performance""], [""neuropsychological_test_performance"", ""measured_during"", ""acute_phase_of_recovery""], [""acute_phase_of_recovery"", ""from"", ""mild_traumatic_brain_injury""], [""neuropsychological_testing_procedures"", ""sensitive_in_measuring"", ""cognitive_sequelae""], [""cognitive_sequelae"", ""of"", ""mild_traumatic_brain_injury""], [""mild_traumatic_brain_injury"", ""also_known_as"", ""concussion""], [""concussion"", ""in"", ""athletes""], [""study"", ""failed_to_find_relationship"", ""between_loc_and_neuropsychological_functioning""], [""loc"", ""relationship_with"", ""neuropsychological_functioning""], [""study"", ""calls_into_question"", ""assignment_of_primary_importance_to_loc""], [""assignment_of_primary_importance_to_loc"", ""in"", ""grading_severity_of_concussion""], [""study"", ""does_not_support"", ""use_of_guidelines""], [""use_of_guidelines"", ""that_rely_heavily_on"", ""loc""], [""loc"", ""used_in"", ""making_return-to-play_decisions""], [""research"", ""necessary_to_determine"", ""relative_importance_of_markers""], [""markers"", ""of"", ""concussion""], [""markers"", ""in"", ""athletes""]]"
202,To investigate the importance of loss of consciousness (LOC) in predicting neuropsychological test performance in a large sample of patients with head injury.,"[[""investigation"", ""focus_on"", ""importance_of_LOC""], [""importance_of_LOC"", ""related_to"", ""neuropsychological_test_performance""], [""neuropsychological_test_performance"", ""measured_in"", ""patients_with_head_injury""]]",The results of this study cast doubt on the importance of LOC as a predictor of neuropsychological test performance during the acute phase of recovery from mild traumatic brain injury. Neuropsychological testing procedures have been shown to be sensitive in measuring cognitive sequelae of mild traumatic brain injury (concussion) in athletes. The failure of this study to find any relationship between LOC and neuropsychological functioning in a large sample of patients with mild head trauma calls into question the assignment of primary importance to LOC in grading severity of concussion. This study also does not provide support for the use of guidelines that rely heavily on LOC in making return-to-play decisions. Continued research is necessary to determine the relative importance of markers of concussion in athletes.,"[[""study"", ""casts_doubt_on"", ""importance_of_LOC""], [""importance_of_LOC"", ""related_to"", ""neuropsychological_test_performance""], [""neuropsychological_test_performance"", ""measured_during"", ""acute_phase_of_recovery""], [""acute_phase_of_recovery"", ""part_of"", ""recovery_from_mild_traumatic_brain_injury""], [""neuropsychological_testing_procedures"", ""sensitive_to"", ""cognitive_sequelae_of_mild_traumatic_brain_injury""], [""cognitive_sequelae_of_mild_traumatic_brain_injury"", ""occurs_in"", ""athletes""], [""study"", ""finds_no_relationship_between"", ""LOC_and_neuropsychological_functioning""], [""LOC_and_neuropsychological_functioning"", ""measured_in"", ""patients_with_mild_head_trauma""], [""study"", ""calls_into_question"", ""assignment_of_primary_importance_to_LOC""], [""assignment_of_primary_importance_to_LOC"", ""part_of"", ""grading_severity_of_concussion""], [""study"", ""does_not_support"", ""use_of_guidelines""], [""use_of_guidelines"", ""relies_heavily_on"", ""LOC""], [""LOC"", ""used_in"", ""making_return-to-play_decisions""], [""study"", ""emphasizes_need_for"", ""continued_research""], [""continued_research"", ""necessary_to_determine"", ""relative_importance_of_markers_of_concussion""], [""relative_importance_of_markers_of_concussion"", ""determined_in"", ""athletes""]]",doubt cast The results of this study on the importance of LOC as a predictor of neuropsychological test performance during the acute phase of recovery from mild traumatic brain injury. Neuropsychological testing procedures have been shown to be sensitive in measuring cognitive sequelae of mild traumatic brain injury (concussion) in athletes. The failure of this study to find any relationship between LOC and neuropsychological functioning in a large sample of patients with mild head trauma calls into question the assignment of primary importance to LOC in grading severity of concussion. This study also does not provide support for the use of guidelines that rely heavily on LOC in making return-to-play decisions. Continued research is necessary to determine the relative importance of markers of concussion in athletes.,"[[""doubt"", ""cast_on"", ""importance_of_LOC""], [""importance_of_LOC"", ""related_to"", ""neuropsychological_test_performance""], [""neuropsychological_test_performance"", ""measured_during"", ""acute_phase_of_recovery""], [""acute_phase_of_recovery"", ""part_of"", ""recovery_from_mild_traumatic_brain_injury""], [""neuropsychological_testing_procedures"", ""sensitive_to"", ""cognitive_sequelae_of_mild_traumatic_brain_injury""], [""cognitive_sequelae_of_mild_traumatic_brain_injury"", ""occurs_in"", ""athletes""], [""study"", ""finds_no_relationship_between"", ""LOC_and_neuropsychological_functioning""], [""LOC_and_neuropsychological_functioning"", ""measured_in"", ""patients_with_mild_head_trauma""], [""study"", ""calls_into_question"", ""assignment_of_primary_importance_to_LOC""], [""assignment_of_primary_importance_to_LOC"", ""part_of"", ""grading_severity_of_concussion""], [""study"", ""does_not_support"", ""use_of_guidelines""], [""use_of_guidelines"", ""relies_heavily_on"", ""LOC""], [""LOC"", ""used_in"", ""making_return-to-play_decisions""], [""study"", ""emphasizes_need_for"", ""continued_research""], [""continued_research"", ""necessary_to_determine"", ""relative_importance_of_markers_of_concussion""], [""relative_importance_of_markers_of_concussion"", ""determined_in"", ""athletes""]]"
203,To investigate the importance of loss of consciousness (LOC) in predicting neuropsychological test performance in a large sample of patients with head injury.,"[[""importance_of_loss_of_consciousness"", ""investigated_in"", ""patients_with_head_injury""], [""loss_of_consciousness"", ""related_to"", ""neuropsychological_test_performance""]]",The results of this study cast doubt on the importance of LOC as a predictor of neuropsychological test performance during the acute phase of recovery from mild traumatic brain injury. Neuropsychological testing procedures have been shown to be sensitive in measuring cognitive sequelae of mild traumatic brain injury (concussion) in athletes. The failure of this study to find any relationship between LOC and neuropsychological functioning in a large sample of patients with mild head trauma calls into question the assignment of primary importance to LOC in grading severity of concussion. This study also does not provide support for the use of guidelines that rely heavily on LOC in making return-to-play decisions. Continued research is necessary to determine the relative importance of markers of concussion in athletes.,"[[""study"", ""casts_doubt_on"", ""importance_of_loss_of_consciousness""], [""importance_of_loss_of_consciousness"", ""questioned_as"", ""predictor_of_neuropsychological_test_performance""], [""neuropsychological_testing_procedures"", ""sensitive_to"", ""cognitive_sequelae_of_mild_traumatic_brain_injury""], [""mild_traumatic_brain_injury"", ""also_known_as"", ""concussion""], [""concussion"", ""occurs_in"", ""athletes""], [""study"", ""found_no_relationship_between"", ""loss_of_consciousness_and_neuropsychological_functioning""], [""loss_of_consciousness"", ""not_primary_importance_in"", ""grading_severity_of_concussion""], [""guidelines"", ""rely_on"", ""loss_of_consciousness""], [""guidelines"", ""used_for"", ""return-to-play_decisions""], [""study"", ""does_not_support"", ""use_of_guidelines""], [""research"", ""necessary_for"", ""determining_importance_of_markers_of_concussion""]]","Interns order significantly more arterial blood gases per infant than junior and senior residents on-call in the neonatal ICU. Additional study is required to see if the experience of housestaff is associated with a broader array of neonatal outcomes, such as morbidity and mortality.","[[""interns"", ""order_more"", ""arterial_blood_gases""], [""arterial_blood_gases"", ""ordered_for"", ""infants""], [""interns"", ""compare_to"", ""junior_residents""], [""interns"", ""compare_to"", ""senior_residents""], [""interns"", ""junior_residents"", ""senior_residents""], [""housestaff"", ""experience"", ""associated_with""], [""neonatal_outcomes"", ""include"", ""morbidity""], [""neonatal_outcomes"", ""include"", ""mortality""], [""study"", ""required_to_investigate"", ""experience_of_housestaff""]]"
204,"To identify the features of PMR that may predict the duration of steroid therapy, the occurrence of relapses and the late development of GCA.","[[""PMR"", ""has_feature"", ""duration_of_steroid_therapy""], [""PMR"", ""has_feature"", ""occurrence_of_relapses""], [""PMR"", ""has_feature"", ""late_development_of_GCA""]]",A higher PV in PMR increases the risk of prolonged steroid therapy and late GCA. Female sex and particular HLA alleles may increase the risk of late GCA. Starting patients on>15 mg prednisolone is associated with a prolonged steroid duration.,"[[""PV"", ""increases"", ""risk_of_prolonged_steroid_therapy""], [""PV"", ""increases"", ""risk_of_late_GCA""], [""Female_sex"", ""increases"", ""risk_of_late_GCA""], [""HLA_alleles"", ""increases"", ""risk_of_late_GCA""], [""prednisolone"", ""associated_with"", ""prolonged_steroid_duration""], [""starting_dose_above_15mg"", ""associated_with"", ""prolonged_steroid_duration""]]",the probability of prolonged steroid therapy and late GCA was increased by A greater PV in PMR. Female sex and particular HLA alleles may elevate the risk of late GCA. Starting individuals on>15 mg prednisolone is associated with a prolonged steroid duration.,"[[""PV"", ""increases"", ""probability_of_prolonged_steroid_therapy""], [""PV"", ""increases"", ""probability_of_late_GCA""], [""Female_sex"", ""elevates"", ""risk_of_late_GCA""], [""HLA_alleles"", ""elevates"", ""risk_of_late_GCA""], [""prednisolone"", ""associated_with"", ""prolonged_steroid_duration""], [""starting_dose_above_15mg"", ""associated_with"", ""prolonged_steroid_duration""]]"
205,"To identify the features of PMR that may predict the duration of steroid therapy, the occurrence of relapses and the late development of GCA.","[[""PMR"", ""has_feature"", ""duration_of_steroid_therapy""], [""PMR"", ""has_feature"", ""occurrence_of_relapses""], [""PMR"", ""has_feature"", ""late_development_of_GCA""]]",A higher PV in PMR increases the risk of prolonged steroid therapy and late GCA. Female sex and particular HLA alleles may increase the risk of late GCA. Starting patients on>15 mg prednisolone is associated with a prolonged steroid duration.,"[[""PMR"", ""has_characteristic"", ""PV""], [""PV"", ""increases_risk_of"", ""prolonged_steroid_therapy""], [""PV"", ""increases_risk_of"", ""late_GCA""], [""Female_sex"", ""increases_risk_of"", ""late_GCA""], [""particular_HLA_alleles"", ""increases_risk_of"", ""late_GCA""], [""prednisolone_dosage_above_15mg"", ""associated_with"", ""prolonged_steroid_duration""]]",A higher PV in PMR increases the risk of prolonged steroid therapy and late GCA. Female sex and particular HLA alleles may increase the risk of late GCA. Starting patients on>22 mg prednisolone is associated with a prolonged steroid duration.,"[[""PMR"", ""has_characteristic"", ""PV""], [""PV"", ""increases_risk_of"", ""prolonged_steroid_therapy""], [""PV"", ""increases_risk_of"", ""late_GCA""], [""Female_sex"", ""increases_risk_of"", ""late_GCA""], [""particular_HLA_alleles"", ""increases_risk_of"", ""late_GCA""], [""prednisolone_dosage_above_22mg"", ""associated_with"", ""prolonged_steroid_duration""]]"
206,"To identify the features of PMR that may predict the duration of steroid therapy, the occurrence of relapses and the late development of GCA.","[[""PMR"", ""has_feature"", ""duration_of_steroid_therapy""], [""PMR"", ""has_feature"", ""occurrence_of_relapses""], [""PMR"", ""has_feature"", ""late_development_of_GCA""]]",A higher PV in PMR increases the risk of prolonged steroid therapy and late GCA. Female sex and particular HLA alleles may increase the risk of late GCA. Starting patients on>15 mg prednisolone is associated with a prolonged steroid duration.,"[[""PV"", ""increases"", ""risk_of_prolonged_steroid_therapy""], [""PV"", ""increases"", ""risk_of_late_GCA""], [""Female_sex"", ""increases"", ""risk_of_late_GCA""], [""HLA_alleles"", ""increases"", ""risk_of_late_GCA""], [""prednisolone_dose_above_15mg"", ""associated_with"", ""prolonged_steroid_duration""]]",the risk of prolonged steroid therapy and late GCA increases A higher PV in PMR. Female sex and particular HLA alleles may increase the risk of late GCA. Starting patients on>15 mg prednisolone is associated with a prolonged steroid duration.,"[[""PV"", ""increases"", ""risk_of_prolonged_steroid_therapy""], [""PV"", ""increases"", ""risk_of_late_GCA""], [""Female_sex"", ""increases"", ""risk_of_late_GCA""], [""HLA_alleles"", ""increases"", ""risk_of_late_GCA""], [""prednisolone_dose_above_15mg"", ""associated_with"", ""prolonged_steroid_duration""]]"
207,"To identify the features of PMR that may predict the duration of steroid therapy, the occurrence of relapses and the late development of GCA.","[[""PMR"", ""has_feature"", ""duration_of_steroid_therapy""], [""PMR"", ""has_feature"", ""occurrence_of_relapses""], [""PMR"", ""has_feature"", ""late_development_of_GCA""]]",A higher PV in PMR increases the risk of prolonged steroid therapy and late GCA. Female sex and particular HLA alleles may increase the risk of late GCA. Starting patients on>15 mg prednisolone is associated with a prolonged steroid duration.,"[[""higher_PV_in_PMR"", ""increases_risk_of"", ""prolonged_steroid_therapy""], [""higher_PV_in_PMR"", ""increases_risk_of"", ""late_GCA""], [""Female_sex"", ""increases_risk_of"", ""late_GCA""], [""particular_HLA_alleles"", ""increases_risk_of"", ""late_GCA""], [""starting_patients_on_high_dose_prednisolone"", ""associated_with"", ""prolonged_steroid_duration""], [""starting_patients_on_high_dose_prednisolone"", ""defined_as"", ""more_than_15_mg_prednisolone""]]","Our study confirms that students are able to identify QA issues and propose solutions. We recommend that students have a formally recognized place in day surgery QA programmes, to close the QA loop and to adequately prepare them for medical practice in the 21st century.","[[""students"", ""can_identify"", ""QA_issues""], [""students"", ""can_propose"", ""solutions""], [""students"", ""should_have"", ""formally_recognized_place_in_QA_programmes""], [""QA_programmes"", ""include"", ""day_surgery_QA""], [""formally_recognized_place_in_QA_programmes"", ""helps_close"", ""QA_loop""], [""formally_recognized_place_in_QA_programmes"", ""helps_prepare_students_for"", ""medical_practice_in_21st_century""]]"
208,"The surgical treatment of diabetes had witnessed progressive development and success since the first case of pancreatic transplantation. Although this was a great step, wide clinical application was limited by several factors. Bariatric surgery such as gastric bypass is emerging as a promising option in obese patients with type 2 diabetes. The aim of this article is to explore the current application of gastric bypass in patients with type 2 diabetes and the theoretical bases of gastric bypass as a treatment option for type 1 diabetes.","[[""surgical_treatment_of_diabetes"", ""witnessed"", ""progressive_development""], [""surgical_treatment_of_diabetes"", ""witnessed"", ""success""], [""pancreatic_transplantation"", ""first_case"", ""surgical_treatment_of_diabetes""], [""gastric_bypass"", ""emerging_as"", ""promising_option""], [""gastric_bypass"", ""used_in"", ""obese_patients""], [""obese_patients"", ""have"", ""type_2_diabetes""], [""article"", ""aim_to_explore"", ""current_application_of_gastric_bypass""], [""current_application_of_gastric_bypass"", ""in"", ""patients_with_type_2_diabetes""], [""gastric_bypass"", ""theoretical_bases"", ""treatment_option_for_type_1_diabetes""]]",Roux-en-Y gastric bypass is a promising option for lifelong treatment of type 2 diabetes. It has the potential to improve or cure a selected spectrum of type 1 diabetes when performed early in the disease. Further animal model studies or randomized controlled trials are needed to support our conclusion.,"[[""Roux-en-Y_gastric_bypass"", ""promising_option"", ""lifelong_treatment_of_type_2_diabetes""], [""Roux-en-Y_gastric_bypass"", ""has_potential"", ""improve_or_cure_type_1_diabetes""], [""type_1_diabetes"", ""treated_early"", ""Roux-en-Y_gastric_bypass""], [""animal_model_studies"", ""needed"", ""support_conclusion""], [""randomized_controlled_trials"", ""needed"", ""support_conclusion""]]",Roux-en-Y gastric bypass is a promising option for lifelong therapy of type 2 diabetes. the potential to enhance or cure a selected spectrum of type 1 diabetes when performed early in the condition was haved by It. Further animal model investigations or randomized controlled trials are needed to support our conclusion.,"[[""Roux-en-Y_gastric_bypass"", ""promising_option"", ""lifelong_therapy_of_type_2_diabetes""], [""Roux-en-Y_gastric_bypass"", ""has_potential"", ""enhance_or_cure_type_1_diabetes""], [""type_1_diabetes"", ""treated_early"", ""Roux-en-Y_gastric_bypass""], [""animal_model_investigations"", ""needed"", ""support_conclusion""], [""randomized_controlled_trials"", ""needed"", ""support_conclusion""]]"
209,"The surgical treatment of diabetes had witnessed progressive development and success since the first case of pancreatic transplantation. Although this was a great step, wide clinical application was limited by several factors. Bariatric surgery such as gastric bypass is emerging as a promising option in obese patients with type 2 diabetes. The aim of this article is to explore the current application of gastric bypass in patients with type 2 diabetes and the theoretical bases of gastric bypass as a treatment option for type 1 diabetes.","[[""surgical_treatment_of_diabetes"", ""witnessed"", ""progressive_development""], [""surgical_treatment_of_diabetes"", ""witnessed"", ""success""], [""pancreatic_transplantation"", ""first_case_of"", ""surgical_treatment_of_diabetes""], [""gastric_bypass"", ""emerging_as"", ""promising_option""], [""gastric_bypass"", ""used_in"", ""obese_patients_with_type_2_diabetes""], [""article"", ""aim"", ""explore_current_application_of_gastric_bypass""], [""article"", ""explore"", ""theoretical_bases_of_gastric_bypass""], [""gastric_bypass"", ""treatment_option_for"", ""type_1_diabetes""]]",Roux-en-Y gastric bypass is a promising option for lifelong treatment of type 2 diabetes. It has the potential to improve or cure a selected spectrum of type 1 diabetes when performed early in the disease. Further animal model studies or randomized controlled trials are needed to support our conclusion.,"[[""Roux-en-Y_gastric_bypass"", ""promising_option_for"", ""lifelong_treatment_of_type_2_diabetes""], [""Roux-en-Y_gastric_bypass"", ""potential_to_improve"", ""type_1_diabetes""], [""Roux-en-Y_gastric_bypass"", ""potential_to_cure"", ""type_1_diabetes""], [""animal_model_studies"", ""needed_to"", ""support_conclusion""], [""randomized_controlled_trials"", ""needed_to"", ""support_conclusion""]]",Roux-en-Y gastric bypass is a promising option for lifelong treatment of type 3 diabetes. It has the potential to improve or cure a selected spectrum of type 1 diabetes when performed early in the disease. Further animal model studies or randomized controlled trials are needed to support our conclusion.,"[[""Roux-en-Y_gastric_bypass"", ""promising_option_for"", ""lifelong_treatment_of_type_3_diabetes""], [""Roux-en-Y_gastric_bypass"", ""potential_to_improve"", ""type_1_diabetes""], [""Roux-en-Y_gastric_bypass"", ""potential_to_cure"", ""type_1_diabetes""], [""animal_model_studies"", ""needed_to"", ""support_conclusion""], [""randomized_controlled_trials"", ""needed_to"", ""support_conclusion""]]"
